"customerkey","geographykey","customeralternatekey","fullname","gender","maritalstatus","emailaddress","yearlyincome","addressline1","phone","datefirstpurchase","commutedistance"
11000,26,"AW00011000","Jon V Yang","M","M","jon24@adventure-works.com","90000.00","3761 N. 14th St","1 (11) 500 555-0162","2020-01-19","1-2 Miles"
11001,37,"AW00011001","Eugene L Huang","M","S","eugene10@adventure-works.com","60000.00","2243 W St.","1 (11) 500 555-0110","2020-01-15","0-1 Miles"
11002,31,"AW00011002","Ruben NULL Torres","M","M","ruben35@adventure-works.com","60000.00","5844 Linden Land","1 (11) 500 555-0184","2020-01-07","2-5 Miles"
11003,11,"AW00011003","Christy NULL Zhu","F","S","christy12@adventure-works.com","70000.00","1825 Village Pl.","1 (11) 500 555-0162","2019-12-29","5-10 Miles"
11004,19,"AW00011004","Elizabeth NULL Johnson","F","S","elizabeth5@adventure-works.com","80000.00","7553 Harness Circle","1 (11) 500 555-0131","2020-01-23","1-2 Miles"
11005,22,"AW00011005","Julio NULL Ruiz","M","S","julio1@adventure-works.com","70000.00","7305 Humphrey Drive","1 (11) 500 555-0151","2019-12-30","5-10 Miles"
11006,8,"AW00011006","Janet G Alvarez","F","S","janet9@adventure-works.com","70000.00","2612 Berry Dr","1 (11) 500 555-0184","2020-01-24","5-10 Miles"
11007,40,"AW00011007","Marco NULL Mehta","M","M","marco14@adventure-works.com","60000.00","942 Brook Street","1 (11) 500 555-0126","2020-01-09","0-1 Miles"
11008,32,"AW00011008","Rob NULL Verhoff","F","S","rob4@adventure-works.com","60000.00","624 Peabody Road","1 (11) 500 555-0164","2020-01-25","10+ Miles"
11009,25,"AW00011009","Shannon C Carlson","M","S","shannon38@adventure-works.com","70000.00","3839 Northgate Road","1 (11) 500 555-0110","2020-01-27","5-10 Miles"
11010,22,"AW00011010","Jacquelyn C Suarez","F","S","jacquelyn20@adventure-works.com","70000.00","7800 Corrinne Court","1 (11) 500 555-0169","2020-01-14","5-10 Miles"
11011,22,"AW00011011","Curtis NULL Lu","M","M","curtis9@adventure-works.com","60000.00","1224 Shoenic","1 (11) 500 555-0117","2019-12-30","10+ Miles"
11012,611,"AW00011012","Lauren M Walker","F","M","lauren41@adventure-works.com","100000.00","4785 Scott Street","717-555-0164","2022-03-16","1-2 Miles"
11013,543,"AW00011013","Ian M Jenkins","M","M","ian47@adventure-works.com","100000.00","7902 Hudson Ave.","817-555-0185","2022-04-13","0-1 Miles"
11014,634,"AW00011014","Sydney NULL Bennett","F","S","sydney23@adventure-works.com","100000.00","9011 Tank Drive","431-555-0156","2022-03-23","1-2 Miles"
11015,301,"AW00011015","Chloe NULL Young","F","S","chloe23@adventure-works.com","30000.00","244 Willow Pass Road","208-555-0142","2022-01-18","5-10 Miles"
11016,329,"AW00011016","Wyatt L Hill","M","M","wyatt32@adventure-works.com","30000.00","9666 Northridge Ct.","135-555-0171","2022-02-09","5-10 Miles"
11017,39,"AW00011017","Shannon NULL Wang","F","S","shannon1@adventure-works.com","20000.00","7330 Saddlehill Lane","1 (11) 500 555-0195","2020-01-12","5-10 Miles"
11018,32,"AW00011018","Clarence D Rai","M","S","clarence32@adventure-works.com","30000.00","244 Rivewview","1 (11) 500 555-0137","2020-01-17","5-10 Miles"
11019,52,"AW00011019","Luke L Lal","M","S","luke18@adventure-works.com","40000.00","7832 Landing Dr","262-555-0112","2022-02-12","5-10 Miles"
11020,53,"AW00011020","Jordan C King","M","S","jordan73@adventure-works.com","40000.00","7156 Rose Dr.","550-555-0163","2021-12-29","1-2 Miles"
11021,536,"AW00011021","Destiny NULL Wilson","F","S","destiny7@adventure-works.com","40000.00","8148 W. Lake Dr.","622-555-0158","2022-01-23","1-2 Miles"
11022,609,"AW00011022","Ethan G Zhang","M","M","ethan20@adventure-works.com","40000.00","1769 Nicholas Drive","589-555-0185","2022-01-20","5-10 Miles"
11023,298,"AW00011023","Seth M Edwards","M","M","seth46@adventure-works.com","40000.00","4499 Valley Crest","452-555-0188","2022-02-17","1-2 Miles"
11024,311,"AW00011024","Russell NULL Xie","M","M","russell7@adventure-works.com","60000.00","8734 Oxford Place","746-555-0186","2022-06-27","5-10 Miles"
11025,24,"AW00011025","Alejandro NULL Beck","M","M","alejandro45@adventure-works.com","10000.00","2596 Franklin Canyon Road","1 (11) 500 555-0178","2020-01-06","1-2 Miles"
