"customerkey","geographykey","customername","englisheducation","commutedistance","geography_key","city","stateprovincename","countryname"
11000,26,"Jon Yang","Bachelors","1-2 Miles",26,"Rockhampton","Queensland","Australia"
11001,37,"Eugene Huang","Bachelors","0-1 Miles",37,"Seaford","Victoria","Australia"
11002,31,"Ruben Torres","Bachelors","2-5 Miles",31,"Hobart","Tasmania","Australia"
11003,11,"Christy Zhu","Bachelors","5-10 Miles",11,"North Ryde","New South Wales","Australia"
11004,19,"Elizabeth Johnson","Bachelors","1-2 Miles",19,"Wollongong","New South Wales","Australia"
11005,22,"Julio Ruiz","Bachelors","5-10 Miles",22,"East Brisbane","Queensland","Australia"
11006,8,"Janet Alvarez","Bachelors","5-10 Miles",8,"Matraville","New South Wales","Australia"
11007,40,"Marco Mehta","Bachelors","0-1 Miles",40,"Warrnambool","Victoria","Australia"
11008,32,"Rob Verhoff","Bachelors","10+ Miles",32,"Bendigo","Victoria","Australia"
11009,25,"Shannon Carlson","Bachelors","5-10 Miles",25,"Hervey Bay","Queensland","Australia"
11010,22,"Jacquelyn Suarez","Bachelors","5-10 Miles",22,"East Brisbane","Queensland","Australia"
11011,22,"Curtis Lu","Bachelors","10+ Miles",22,"East Brisbane","Queensland","Australia"
11012,611,"Lauren Walker","Bachelors","1-2 Miles",611,"Bremerton","Washington","United States"
11013,543,"Ian Jenkins","Bachelors","0-1 Miles",543,"Lebanon","Oregon","United States"
11014,634,"Sydney Bennett","Bachelors","1-2 Miles",634,"Redmond","Washington","United States"
11015,301,"Chloe Young","Partial College","5-10 Miles",301,"Burbank","California","United States"
11016,329,"Wyatt Hill","Partial College","5-10 Miles",329,"Imperial Beach","California","United States"
11017,39,"Shannon Wang","High School","5-10 Miles",39,"Sunbury","Victoria","Australia"
11018,32,"Clarence Rai","Partial College","5-10 Miles",32,"Bendigo","Victoria","Australia"
11019,52,"Luke Lal","High School","5-10 Miles",52,"Langley","British Columbia","Canada"
11020,53,"Jordan King","High School","1-2 Miles",53,"Metchosin","British Columbia","Canada"
11021,536,"Destiny Wilson","Partial College","1-2 Miles",536,"Beaverton","Oregon","United States"
11022,609,"Ethan Zhang","Partial College","5-10 Miles",609,"Bellingham","Washington","United States"
11023,298,"Seth Edwards","Partial College","1-2 Miles",298,"Bellflower","California","United States"
11024,311,"Russell Xie","Partial College","5-10 Miles",311,"Concord","California","United States"
11025,24,"Alejandro Beck","Partial High School","1-2 Miles",24,"Hawthorne","Queensland","Australia"
11026,4,"Harold Sai","Partial College","1-2 Miles",4,"Goulburn","New South Wales","Australia"
11027,40,"Jessie Zhao","Partial College","5-10 Miles",40,"Warrnambool","Victoria","Australia"
11028,17,"Jill Jimenez","Partial College","1-2 Miles",17,"St. Leonards","New South Wales","Australia"
11029,32,"Jimmy Moreno","Partial College","1-2 Miles",32,"Bendigo","Victoria","Australia"
11030,28,"Bethany Yuan","Partial High School","1-2 Miles",28,"Cloverdale","South Australia","Australia"
11031,8,"Theresa Ramos","High School","1-2 Miles",8,"Matraville","New South Wales","Australia"
11032,35,"Denise Stone","High School","1-2 Miles",35,"Melbourne","Victoria","Australia"
11033,9,"Jaime Nath","High School","5-10 Miles",9,"Milsons Point","New South Wales","Australia"
11034,12,"Ebony Gonzalez","High School","5-10 Miles",12,"North Sydney","New South Wales","Australia"
11035,33,"Wendy Dominguez","Partial High School","1-2 Miles",33,"Cranbourne","Victoria","Australia"
11036,343,"Jennifer Russell","Partial College","1-2 Miles",343,"National City","California","United States"
11037,49,"Chloe Garcia","Partial High School","5-10 Miles",49,"Cliffside","British Columbia","Canada"
11038,6,"Diana Hernandez","Partial High School","5-10 Miles",6,"Lavender Bay","New South Wales","Australia"
11039,19,"Marc Martin","Partial College","5-10 Miles",19,"Wollongong","New South Wales","Australia"
11040,642,"Jesse Murphy","Partial College","1-2 Miles",642,"Tacoma","Washington","United States"
11041,325,"Amanda Carter","Partial College","1-2 Miles",325,"Glendale","California","United States"
11042,338,"Megan Sanchez","Partial College","0-1 Miles",338,"Los Angeles","California","United States"
11043,325,"Nathan Simmons","Partial College","5-10 Miles",325,"Glendale","California","United States"
11044,25,"Adam Flores","Partial High School","1-2 Miles",25,"Hervey Bay","Queensland","Australia"
11045,8,"Leonard Nara","High School","1-2 Miles",8,"Matraville","New South Wales","Australia"
11046,6,"Christine Yuan","High School","5-10 Miles",6,"Lavender Bay","New South Wales","Australia"
11047,34,"Jaclyn Lu","High School","1-2 Miles",34,"Geelong","Victoria","Australia"
11048,39,"Jeremy Powell","High School","5-10 Miles",39,"Sunbury","Victoria","Australia"
11049,307,"Carol Rai","Partial High School","5-10 Miles",307,"Chula Vista","California","United States"
11050,31,"Alan Zheng","High School","5-10 Miles",31,"Hobart","Tasmania","Australia"
11051,21,"Daniel Johnson","High School","1-2 Miles",21,"Caloundra","Queensland","Australia"
11052,8,"Heidi Lopez","Partial College","5-10 Miles",8,"Matraville","New South Wales","Australia"
11053,359,"Ana Price","Partial College","1-2 Miles",359,"San Diego","California","United States"
11054,34,"Deanna Munoz","Partial College","5-10 Miles",34,"Geelong","Victoria","Australia"
11055,22,"Gilbert Raje","Partial College","5-10 Miles",22,"East Brisbane","Queensland","Australia"
11056,10,"Michele Nath","Partial College","5-10 Miles",10,"Newcastle","New South Wales","Australia"
11057,5,"Carl Andersen","Graduate Degree","1-2 Miles",5,"Lane Cove","New South Wales","Australia"
11058,29,"Marc Diaz","Partial College","1-2 Miles",29,"Findon","South Australia","Australia"
11059,27,"Ashlee Andersen","Partial College","5-10 Miles",27,"Townsville","Queensland","Australia"
11060,40,"Jon Zhou","Partial College","5-10 Miles",40,"Warrnambool","Victoria","Australia"
11061,23,"Todd Gao","Partial College","5-10 Miles",23,"Gold Coast","Queensland","Australia"
11062,547,"Noah Powell","High School","5-10 Miles",547,"Portland","Oregon","United States"
11063,634,"Angela Murphy","High School","5-10 Miles",634,"Redmond","Washington","United States"
11064,315,"Chase Reed","High School","5-10 Miles",315,"Downey","California","United States"
11065,331,"Jessica Henderson","Partial College","1-2 Miles",331,"La Jolla","California","United States"
11066,543,"Grace Butler","Partial College","5-10 Miles",543,"Lebanon","Oregon","United States"
11067,632,"Caleb Carter","Partial College","5-10 Miles",632,"Port Orchard","Washington","United States"
11068,40,"Tiffany Liang","High School","5-10 Miles",40,"Warrnambool","Victoria","Australia"
11069,23,"Carolyn Navarro","High School","1-2 Miles",23,"Gold Coast","Queensland","Australia"
11070,39,"Willie Raji","High School","5-10 Miles",39,"Sunbury","Victoria","Australia"
11071,24,"Linda Serrano","High School","5-10 Miles",24,"Hawthorne","Queensland","Australia"
11072,17,"Casey Luo","High School","1-2 Miles",17,"St. Leonards","New South Wales","Australia"
11073,16,"Amy Ye","High School","5-10 Miles",16,"Springwood","New South Wales","Australia"
11074,28,"Levi Arun","High School","5-10 Miles",28,"Cloverdale","South Australia","Australia"
11075,32,"Felicia Jimenez","High School","5-10 Miles",32,"Bendigo","Victoria","Australia"
11076,19,"Blake Anderson","High School","5-10 Miles",19,"Wollongong","New South Wales","Australia"
11077,36,"Leah Ye","High School","1-2 Miles",36,"Melton","Victoria","Australia"
11078,49,"Gina Martin","High School","1-2 Miles",49,"Cliffside","British Columbia","Canada"
11079,34,"Donald Gonzalez","Graduate Degree","0-1 Miles",34,"Geelong","Victoria","Australia"
11080,30,"Damien Chander","Graduate Degree","0-1 Miles",30,"Perth","South Australia","Australia"
11081,311,"Savannah Baker","Bachelors","2-5 Miles",311,"Concord","California","United States"
11082,322,"Angela Butler","Graduate Degree","1-2 Miles",322,"Fremont","California","United States"
11083,336,"Alyssa Cox","Graduate Degree","1-2 Miles",336,"Lincoln Acres","California","United States"
11084,543,"Lucas Phillips","Partial High School","1-2 Miles",543,"Lebanon","Oregon","United States"
11085,345,"Emily Johnson","High School","5-10 Miles",345,"Newport Beach","California","United States"
11086,369,"Ryan Brown","Partial College","0-1 Miles",369,"Santa Monica","California","United States"
11087,307,"Tamara Liang","Partial College","0-1 Miles",307,"Chula Vista","California","United States"
11088,359,"Hunter Davis","Bachelors","2-5 Miles",359,"San Diego","California","United States"
11089,337,"Abigail Price","Bachelors","2-5 Miles",337,"Long Beach","California","United States"
11090,338,"Trevor Bryant","Partial College","2-5 Miles",338,"Los Angeles","California","United States"
11091,50,"Dalton Perez","Partial College","5-10 Miles",50,"Haney","British Columbia","Canada"
11092,22,"Cheryl Diaz","Bachelors","1-2 Miles",22,"East Brisbane","Queensland","Australia"
11093,19,"Aimee He","Graduate Degree","0-1 Miles",19,"Wollongong","New South Wales","Australia"
11094,33,"Cedric Ma","Partial College","0-1 Miles",33,"Cranbourne","Victoria","Australia"
11095,13,"Chad Kumar","Partial College","5-10 Miles",13,"Port Macquarie","New South Wales","Australia"
11096,12,"Andrés Anand","Bachelors","5-10 Miles",12,"North Sydney","New South Wales","Australia"
11097,40,"Edwin Nara","Partial College","5-10 Miles",40,"Warrnambool","Victoria","Australia"
11098,14,"Mallory Rubio","Partial College","0-1 Miles",14,"Rhodes","New South Wales","Australia"
11099,13,"Adam Ross","Bachelors","0-1 Miles",13,"Port Macquarie","New South Wales","Australia"
11100,28,"Latasha Navarro","Partial College","5-10 Miles",28,"Cloverdale","South Australia","Australia"
11101,33,"Abby Sai","Bachelors","0-1 Miles",33,"Cranbourne","Victoria","Australia"
11102,18,"Julia Nelson","Bachelors","1-2 Miles",18,"Sydney","New South Wales","Australia"
