"customerkey","geographykey","customername","englisheducation","commutedistance"
11000,26,"Jon Yang","Bachelors","1-2 Miles"
11001,37,"Eugene Huang","Bachelors","0-1 Miles"
11002,31,"Ruben Torres","Bachelors","2-5 Miles"
11003,11,"Christy Zhu","Bachelors","5-10 Miles"
11004,19,"Elizabeth Johnson","Bachelors","1-2 Miles"
11005,22,"Julio Ruiz","Bachelors","5-10 Miles"
11006,8,"Janet Alvarez","Bachelors","5-10 Miles"
11007,40,"Marco Mehta","Bachelors","0-1 Miles"
11008,32,"Rob Verhoff","Bachelors","10+ Miles"
11009,25,"Shannon Carlson","Bachelors","5-10 Miles"
11010,22,"Jacquelyn Suarez","Bachelors","5-10 Miles"
11011,22,"Curtis Lu","Bachelors","10+ Miles"
11012,611,"Lauren Walker","Bachelors","1-2 Miles"
11013,543,"Ian Jenkins","Bachelors","0-1 Miles"
11014,634,"Sydney Bennett","Bachelors","1-2 Miles"
11015,301,"Chloe Young","Partial College","5-10 Miles"
11016,329,"Wyatt Hill","Partial College","5-10 Miles"
11017,39,"Shannon Wang","High School","5-10 Miles"
11018,32,"Clarence Rai","Partial College","5-10 Miles"
11019,52,"Luke Lal","High School","5-10 Miles"
11020,53,"Jordan King","High School","1-2 Miles"
11021,536,"Destiny Wilson","Partial College","1-2 Miles"
11022,609,"Ethan Zhang","Partial College","5-10 Miles"
11023,298,"Seth Edwards","Partial College","1-2 Miles"
11024,311,"Russell Xie","Partial College","5-10 Miles"
11025,24,"Alejandro Beck","Partial High School","1-2 Miles"
11026,4,"Harold Sai","Partial College","1-2 Miles"
11027,40,"Jessie Zhao","Partial College","5-10 Miles"
11028,17,"Jill Jimenez","Partial College","1-2 Miles"
11029,32,"Jimmy Moreno","Partial College","1-2 Miles"
11030,28,"Bethany Yuan","Partial High School","1-2 Miles"
11031,8,"Theresa Ramos","High School","1-2 Miles"
11032,35,"Denise Stone","High School","1-2 Miles"
11033,9,"Jaime Nath","High School","5-10 Miles"
11034,12,"Ebony Gonzalez","High School","5-10 Miles"
11035,33,"Wendy Dominguez","Partial High School","1-2 Miles"
11036,343,"Jennifer Russell","Partial College","1-2 Miles"
11037,49,"Chloe Garcia","Partial High School","5-10 Miles"
11038,6,"Diana Hernandez","Partial High School","5-10 Miles"
11039,19,"Marc Martin","Partial College","5-10 Miles"
11040,642,"Jesse Murphy","Partial College","1-2 Miles"
11041,325,"Amanda Carter","Partial College","1-2 Miles"
11042,338,"Megan Sanchez","Partial College","0-1 Miles"
11043,325,"Nathan Simmons","Partial College","5-10 Miles"
11044,25,"Adam Flores","Partial High School","1-2 Miles"
11045,8,"Leonard Nara","High School","1-2 Miles"
11046,6,"Christine Yuan","High School","5-10 Miles"
11047,34,"Jaclyn Lu","High School","1-2 Miles"
11048,39,"Jeremy Powell","High School","5-10 Miles"
11049,307,"Carol Rai","Partial High School","5-10 Miles"
11050,31,"Alan Zheng","High School","5-10 Miles"
11051,21,"Daniel Johnson","High School","1-2 Miles"
11052,8,"Heidi Lopez","Partial College","5-10 Miles"
11053,359,"Ana Price","Partial College","1-2 Miles"
11054,34,"Deanna Munoz","Partial College","5-10 Miles"
11055,22,"Gilbert Raje","Partial College","5-10 Miles"
11056,10,"Michele Nath","Partial College","5-10 Miles"
11057,5,"Carl Andersen","Graduate Degree","1-2 Miles"
11058,29,"Marc Diaz","Partial College","1-2 Miles"
11059,27,"Ashlee Andersen","Partial College","5-10 Miles"
11060,40,"Jon Zhou","Partial College","5-10 Miles"
11061,23,"Todd Gao","Partial College","5-10 Miles"
11062,547,"Noah Powell","High School","5-10 Miles"
11063,634,"Angela Murphy","High School","5-10 Miles"
11064,315,"Chase Reed","High School","5-10 Miles"
11065,331,"Jessica Henderson","Partial College","1-2 Miles"
11066,543,"Grace Butler","Partial College","5-10 Miles"
11067,632,"Caleb Carter","Partial College","5-10 Miles"
11068,40,"Tiffany Liang","High School","5-10 Miles"
11069,23,"Carolyn Navarro","High School","1-2 Miles"
11070,39,"Willie Raji","High School","5-10 Miles"
11071,24,"Linda Serrano","High School","5-10 Miles"
11072,17,"Casey Luo","High School","1-2 Miles"
11073,16,"Amy Ye","High School","5-10 Miles"
11074,28,"Levi Arun","High School","5-10 Miles"
11075,32,"Felicia Jimenez","High School","5-10 Miles"
11076,19,"Blake Anderson","High School","5-10 Miles"
11077,36,"Leah Ye","High School","1-2 Miles"
11078,49,"Gina Martin","High School","1-2 Miles"
11079,34,"Donald Gonzalez","Graduate Degree","0-1 Miles"
11080,30,"Damien Chander","Graduate Degree","0-1 Miles"
11081,311,"Savannah Baker","Bachelors","2-5 Miles"
11082,322,"Angela Butler","Graduate Degree","1-2 Miles"
11083,336,"Alyssa Cox","Graduate Degree","1-2 Miles"
11084,543,"Lucas Phillips","Partial High School","1-2 Miles"
11085,345,"Emily Johnson","High School","5-10 Miles"
11086,369,"Ryan Brown","Partial College","0-1 Miles"
11087,307,"Tamara Liang","Partial College","0-1 Miles"
11088,359,"Hunter Davis","Bachelors","2-5 Miles"
11089,337,"Abigail Price","Bachelors","2-5 Miles"
11090,338,"Trevor Bryant","Partial College","2-5 Miles"
11091,50,"Dalton Perez","Partial College","5-10 Miles"
11092,22,"Cheryl Diaz","Bachelors","1-2 Miles"
11093,19,"Aimee He","Graduate Degree","0-1 Miles"
11094,33,"Cedric Ma","Partial College","0-1 Miles"
11095,13,"Chad Kumar","Partial College","5-10 Miles"
11096,12,"Andrés Anand","Bachelors","5-10 Miles"
11097,40,"Edwin Nara","Partial College","5-10 Miles"
11098,14,"Mallory Rubio","Partial College","0-1 Miles"
11099,13,"Adam Ross","Bachelors","0-1 Miles"
11100,28,"Latasha Navarro","Partial College","5-10 Miles"
11101,33,"Abby Sai","Bachelors","0-1 Miles"
11102,18,"Julia Nelson","Bachelors","1-2 Miles"
11103,3,"Cassie Chande","Bachelors","5-10 Miles"
11104,23,"Edgar Sara","Bachelors","0-1 Miles"
11105,8,"Candace Fernandez","Bachelors","5-10 Miles"
11106,40,"Jessie Liu","Bachelors","5-10 Miles"
11107,17,"Bianca Lin","Bachelors","5-10 Miles"
11108,13,"Kari Alvarez","Bachelors","0-1 Miles"
11109,38,"Ruben Kapoor","Bachelors","0-1 Miles"
11110,3,"Curtis Yang","Partial College","5-10 Miles"
11111,34,"Meredith Gutierrez","Partial College","0-1 Miles"
11112,25,"Crystal Wang","Partial College","0-1 Miles"
11113,30,"Micheal Blanco","Bachelors","5-10 Miles"
11114,14,"Leslie Moreno","Partial College","5-10 Miles"
11115,17,"Alvin Cai","Partial College","0-1 Miles"
11116,18,"Clinton Carlson","Partial College","5-10 Miles"
11117,8,"April Deng","Partial College","10+ Miles"
11118,6,"Alvin Zeng","Partial College","0-1 Miles"
11119,13,"Evan James","Partial College","0-1 Miles"
11120,18,"Beth Jiménez","Bachelors","5-10 Miles"
11121,10,"Orlando Suarez","Partial College","10+ Miles"
11122,12,"Byron Vazquez","Partial College","5-10 Miles"
11123,39,"Philip Alvarez","Partial College","10+ Miles"
11124,40,"Ross Jordan","Partial College","5-10 Miles"
11125,37,"Dana Navarro","Partial College","5-10 Miles"
11126,11,"Shaun Carson","High School","0-1 Miles"
11127,361,"Jan Edwards","High School","5-10 Miles"
11128,635,"Samantha Long","High School","5-10 Miles"
11129,638,"Julia Wright","High School","5-10 Miles"
11130,543,"Caroline Russell","High School","5-10 Miles"
11131,50,"Amanda Rivera","High School","0-1 Miles"
11132,51,"Melissa Richardson","High School","5-10 Miles"
11133,542,"Angela Griffin","Partial High School","0-1 Miles"
11134,30,"Larry Townsend","High School","5-10 Miles"
11135,302,"Marcus Harris","Partial High School","5-10 Miles"
11136,53,"Brianna Morgan","High School","0-1 Miles"
11137,641,"Jasmine Taylor","High School","5-10 Miles"
11138,325,"Lauren Davis","High School","0-1 Miles"
11139,28,"Tanya Moreno","Partial College","5-10 Miles"
11140,301,"Javier Alvarez","Partial High School","5-10 Miles"
11141,314,"Nicole Ramirez","High School","0-1 Miles"
11142,51,"Eduardo Patterson","High School","0-1 Miles"
11143,334,"Jonathan Henderson","High School","5-10 Miles"
11144,607,"Edward Hernandez","High School","0-1 Miles"
11145,536,"Jasmine Coleman","High School","0-1 Miles"
11146,8,"Karla Goel","Bachelors","5-10 Miles"
11147,40,"Ernest Wu","Graduate Degree","0-1 Miles"
11148,22,"Ross Vazquez","Bachelors","5-10 Miles"
11149,25,"Theodore Gill","Bachelors","0-1 Miles"
11150,39,"Russell Shen","Bachelors","5-10 Miles"
11151,18,"Melinda Gill","Graduate Degree","0-1 Miles"
11152,633,"James Williams","High School","5-10 Miles"
11153,635,"Angela James","High School","5-10 Miles"
11154,553,"Megan Walker","Partial College","5-10 Miles"
11155,301,"Hunter Robinson","Partial College","1-2 Miles"
11156,334,"Maria Roberts","Partial College","1-2 Miles"
11157,642,"Hannah Long","High School","5-10 Miles"
11158,361,"Jason Wright","High School","5-10 Miles"
11159,385,"Brianna Hughes","High School","1-2 Miles"
11160,311,"Maurice Tang","Partial College","5-10 Miles"
11161,311,"Emily Wood","Partial College","1-2 Miles"
11162,331,"Chase Cox","Partial College","5-10 Miles"
11163,372,"Gabriel Wang","Partial College","5-10 Miles"
11164,374,"Devin Brooks","Partial College","1-2 Miles"
11165,348,"Jocelyn Alexander","Partial College","1-2 Miles"
11166,631,"Ashley Martinez","Partial College","0-1 Miles"
11167,618,"Jasmine Barnes","Bachelors","0-1 Miles"
11168,348,"David Rodriguez","Bachelors","0-1 Miles"
11169,312,"Bryce Richardson","Bachelors","0-1 Miles"
11170,612,"Carol Howard","Bachelors","0-1 Miles"
11171,385,"Jonathan Hill","Bachelors","1-2 Miles"
11172,626,"Gabrielle Adams","Bachelors","1-2 Miles"
11173,552,"Sarah Thomas","Graduate Degree","0-1 Miles"
11174,338,"Nicholas Robinson","Graduate Degree","2-5 Miles"
11175,300,"Luis Wang","Partial College","5-10 Miles"
11176,50,"Mason Roberts","Bachelors","1-2 Miles"
11177,359,"Jose Flores","Graduate Degree","5-10 Miles"
11178,334,"Nathan Johnson","Graduate Degree","1-2 Miles"
11179,300,"Molly Rodriguez","Graduate Degree","5-10 Miles"
11180,307,"April Anand","Bachelors","0-1 Miles"
11181,338,"Devin Martin","Graduate Degree","0-1 Miles"
11182,638,"Stephanie Torres","Bachelors","10+ Miles"
11183,368,"Jasmine Lee","Bachelors","10+ Miles"
11184,311,"Meghan Hernandez","Bachelors","10+ Miles"
11185,53,"Ashley Henderson","Bachelors","10+ Miles"
11186,352,"Sarah Price","Bachelors","10+ Miles"
11187,612,"Jennifer Cooper","Graduate Degree","10+ Miles"
11188,361,"Catherine Morris","Graduate Degree","1-2 Miles"
11189,609,"Lawrence Blanco","Graduate Degree","10+ Miles"
11190,300,"Carson Bryant","Bachelors","10+ Miles"
11191,310,"Kristi Perez","Bachelors","10+ Miles"
11192,637,"James Brown","Bachelors","2-5 Miles"
11193,553,"Ian Gray","Bachelors","2-5 Miles"
11194,352,"Jacqueline Price","Bachelors","2-5 Miles"
11195,635,"Megan Henderson","Bachelors","10+ Miles"
11196,536,"Alfredo Romero","Bachelors","10+ Miles"
11197,637,"Andrea Morris","Bachelors","1-2 Miles"
11198,368,"Brooke Sanders","Bachelors","10+ Miles"
11199,302,"Jacqueline Bennett","Bachelors","10+ Miles"
11200,69,"Jason Griffin","Bachelors","1-2 Miles"
11201,369,"Amanda Foster","Bachelors","10+ Miles"
11202,334,"Alexia Price","Bachelors","1-2 Miles"
11203,60,"Luis Diaz","High School","10+ Miles"
11204,536,"Destiny Rivera","High School","2-5 Miles"
11205,612,"Abby Fernandez","High School","10+ Miles"
11206,626,"Blake Flores","Partial College","10+ Miles"
11207,635,"Danielle Cox","Partial College","10+ Miles"
11208,325,"Maria Reed","Bachelors","10+ Miles"
11209,336,"Allison Evans","Bachelors","10+ Miles"
11210,383,"Edward Wood","Partial College","10+ Miles"
11211,50,"Samantha Russell","High School","2-5 Miles"
11212,53,"Chloe Campbell","High School","2-5 Miles"
11213,614,"Stephanie Murphy","Partial College","10+ Miles"
11214,545,"Charles Miller","Partial College","10+ Miles"
11215,62,"Ana Perry","Partial High School","10+ Miles"
11216,547,"Jasmine Torres","Partial College","10+ Miles"
11217,547,"Natalie Adams","Partial College","10+ Miles"
11218,642,"Olivia Brown","Partial College","2-5 Miles"
11219,553,"Charles Cook","High School","10+ Miles"
11220,310,"Erica Huang","Partial College","10+ Miles"
11221,334,"Nathan Perry","Partial College","1-2 Miles"
11222,369,"Alexandra Rivera","Bachelors","1-2 Miles"
11223,52,"Hailey Patterson","High School","2-5 Miles"
11224,612,"Tiffany Li","High School","10+ Miles"
11225,635,"Madison Lee","Partial College","10+ Miles"
11226,552,"Sydney Ross","Partial College","2-5 Miles"
11227,310,"Marshall Chavez","Partial College","10+ Miles"
11228,316,"Ashley Jones","Partial College","10+ Miles"
11229,355,"Adrian Stewart","Partial College","10+ Miles"
11230,369,"Amber Turner","Partial College","2-5 Miles"
11231,611,"Dennis Zhang","High School","10+ Miles"
11232,616,"Hailey Bryant","High School","2-5 Miles"
11233,299,"Todd Li","Partial College","10+ Miles"
11234,337,"Anna Griffin","Partial College","10+ Miles"
11235,607,"Angel Stewart","Partial College","10+ Miles"
11236,609,"Jeremy Butler","Partial College","10+ Miles"
